Saved at time: 619943 milliseconds
Integration time: 100000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
336.52618408	1507.00000000
336.98196843	1508.00000000
337.43778931	1500.00000000
337.89364673	1504.00000000
338.34954070	1502.00000000
338.80547121	1506.00000000
339.26143827	1506.00000000
339.71744189	1511.00000000
340.17348206	1492.00000000
340.62955880	1509.00000000
341.08567210	1511.00000000
341.54182197	1506.00000000
341.99800842	1508.00000000
342.45423144	1498.00000000
342.91049105	1501.00000000
343.36678724	1504.00000000
343.82312002	1500.00000000
344.27948940	1509.00000000
344.73589537	1508.00000000
345.19233794	1501.00000000
345.64881712	1501.00000000
346.10533290	1502.00000000
346.56188530	1505.00000000
347.01847432	1503.00000000
347.47509995	1505.00000000
347.93176221	1507.00000000
348.38846110	1506.00000000
348.84519662	1508.00000000
349.30196878	1503.00000000
349.75877758	1505.00000000
350.21562302	1508.00000000
350.67250511	1508.00000000
351.12942385	1503.00000000
351.58637924	1495.00000000
352.04337130	1508.00000000
352.50040002	1502.00000000
352.95746540	1504.00000000
353.41456746	1498.00000000
353.87170619	1507.00000000
354.32888160	1505.00000000
354.78609370	1506.00000000
355.24334248	1504.00000000
355.70062795	1506.00000000
356.15795012	1507.00000000
356.61530898	1508.00000000
357.07270455	1503.00000000
357.53013682	1501.00000000
357.98760580	1506.00000000
358.44511150	1510.00000000
358.90265391	1501.00000000
359.36023305	1501.00000000
359.81784891	1503.00000000
360.27550150	1504.00000000
360.73319082	1507.00000000
361.19091688	1509.00000000
361.64867969	1506.00000000
362.10647923	1503.00000000
362.56431553	1511.00000000
363.02218858	1511.00000000
363.48009839	1506.00000000
363.93804495	1503.00000000
364.39602828	1503.00000000
364.85404838	1499.00000000
365.31210525	1507.00000000
365.77019890	1507.00000000
366.22832933	1509.00000000
366.68649654	1508.00000000
367.14470054	1507.00000000
367.60294133	1507.00000000
368.06121892	1507.00000000
368.51953331	1508.00000000
368.97788450	1505.00000000
369.43627249	1508.00000000
369.89469730	1504.00000000
370.35315893	1504.00000000
370.81165737	1509.00000000
371.27019263	1505.00000000
371.72876473	1508.00000000
372.18737365	1503.00000000
372.64601941	1504.00000000
373.10470200	1507.00000000
373.56342144	1504.00000000
374.02217772	1506.00000000
374.48097086	1499.00000000
374.93980085	1510.00000000
375.39866769	1491.00000000
375.85757140	1508.00000000
376.31651197	1503.00000000
376.77548942	1499.00000000
377.23450373	1507.00000000
377.69355493	1510.00000000
378.15264300	1510.00000000
378.61176796	1512.00000000
379.07092981	1505.00000000
379.53012855	1501.00000000
379.98936419	1507.00000000
380.44863673	1511.00000000
380.90794617	1513.00000000
381.36729253	1505.00000000
381.82667579	1509.00000000
382.28609597	1507.00000000
382.74555307	1508.00000000
383.20504710	1512.00000000
383.66457805	1505.00000000
384.12414594	1508.00000000
384.58375076	1506.00000000
385.04339252	1509.00000000
385.50307122	1508.00000000
385.96278687	1505.00000000
386.42253947	1514.00000000
386.88232903	1505.00000000
387.34215555	1508.00000000
387.80201903	1510.00000000
388.26191947	1510.00000000
388.72185689	1510.00000000
389.18183128	1511.00000000
389.64184265	1510.00000000
390.10189100	1510.00000000
390.56197634	1509.00000000
391.02209867	1509.00000000
391.48225799	1501.00000000
391.94245431	1509.00000000
392.40268763	1509.00000000
392.86295796	1507.00000000
393.32326530	1502.00000000
393.78360965	1506.00000000
394.24399102	1513.00000000
394.70440941	1510.00000000
395.16486482	1507.00000000
395.62535727	1511.00000000
396.08588674	1506.00000000
396.54645326	1508.00000000
397.00705681	1512.00000000
397.46769741	1511.00000000
397.92837506	1511.00000000
398.38908976	1509.00000000
398.84984151	1512.00000000
399.31063033	1510.00000000
399.77145621	1514.00000000
400.23231916	1513.00000000
400.69321918	1511.00000000
401.15415627	1516.00000000
401.61513045	1511.00000000
402.07614171	1515.00000000
402.53719006	1517.00000000
402.99827549	1518.00000000
403.45939803	1512.00000000
403.92055766	1514.00000000
404.38175439	1516.00000000
404.84298824	1514.00000000
405.30425919	1515.00000000
405.76556726	1515.00000000
406.22691244	1515.00000000
406.68829475	1508.00000000
407.14971418	1517.00000000
407.61117075	1513.00000000
408.07266445	1516.00000000
408.53419529	1515.00000000
408.99576326	1520.00000000
409.45736839	1515.00000000
409.91901066	1519.00000000
410.38069009	1515.00000000
410.84240668	1514.00000000
411.30416042	1514.00000000
411.76595133	1517.00000000
412.22777942	1509.00000000
412.68964467	1516.00000000
413.15154710	1516.00000000
413.61348671	1517.00000000
414.07546351	1511.00000000
414.53747749	1514.00000000
414.99952867	1520.00000000
415.46161704	1515.00000000
415.92374262	1518.00000000
416.38590540	1516.00000000
416.84810538	1512.00000000
417.31034258	1518.00000000
417.77261699	1522.00000000
418.23492863	1517.00000000
418.69727748	1517.00000000
419.15966357	1516.00000000
419.62208688	1514.00000000
420.08454743	1517.00000000
420.54704523	1519.00000000
421.00958026	1516.00000000
421.47215254	1508.00000000
421.93476207	1519.00000000
422.39740886	1518.00000000
422.86009290	1513.00000000
423.32281421	1518.00000000
423.78557278	1517.00000000
424.24836862	1507.00000000
424.71120174	1513.00000000
425.17407214	1516.00000000
425.63697981	1518.00000000
426.09992478	1511.00000000
426.56290703	1520.00000000
427.02592658	1519.00000000
427.48898342	1512.00000000
427.95207757	1514.00000000
428.41520902	1518.00000000
428.87837778	1513.00000000
429.34158385	1515.00000000
429.80482724	1520.00000000
430.26810795	1513.00000000
430.73142599	1512.00000000
431.19478135	1514.00000000
431.65817405	1518.00000000
432.12160408	1513.00000000
432.58507146	1514.00000000
433.04857617	1519.00000000
433.51211824	1514.00000000
433.97569766	1514.00000000
434.43931443	1518.00000000
434.90296857	1515.00000000
435.36666006	1513.00000000
435.83038893	1516.00000000
436.29415516	1514.00000000
436.75795877	1516.00000000
437.22179977	1518.00000000
437.68567814	1516.00000000
438.14959390	1521.00000000
438.61354705	1520.00000000
439.07753760	1520.00000000
439.54156554	1521.00000000
440.00563089	1518.00000000
440.46973364	1518.00000000
440.93387381	1522.00000000
441.39805139	1530.00000000
441.86226638	1521.00000000
442.32651880	1521.00000000
442.79080865	1499.00000000
443.25513592	1522.00000000
443.71950063	1523.00000000
444.18390277	1517.00000000
444.64834236	1528.00000000
445.11281939	1525.00000000
445.57733388	1524.00000000
446.04188581	1528.00000000
446.50647520	1528.00000000
446.97110205	1523.00000000
447.43576637	1526.00000000
447.90046816	1525.00000000
448.36520742	1525.00000000
448.82998415	1526.00000000
449.29479837	1527.00000000
449.75965007	1523.00000000
450.22453926	1531.00000000
450.68946594	1527.00000000
451.15443011	1530.00000000
451.61943179	1528.00000000
452.08447097	1529.00000000
452.54954765	1527.00000000
453.01466185	1524.00000000
453.47981357	1529.00000000
453.94500280	1521.00000000
454.41022956	1526.00000000
454.87549384	1527.00000000
455.34079565	1527.00000000
455.80613500	1528.00000000
456.27151189	1524.00000000
456.73692632	1528.00000000
457.20237830	1527.00000000
457.66786782	1520.00000000
458.13339491	1520.00000000
458.59895955	1526.00000000
459.06456175	1528.00000000
459.53020152	1528.00000000
459.99587885	1524.00000000
460.46159377	1519.00000000
460.92734625	1521.00000000
461.39313632	1522.00000000
461.85896398	1527.00000000
462.32482923	1514.00000000
462.79073206	1529.00000000
463.25667250	1526.00000000
463.72265054	1527.00000000
464.18866618	1527.00000000
464.65471943	1532.00000000
465.12081029	1526.00000000
465.58693877	1526.00000000
466.05310487	1527.00000000
466.51930859	1530.00000000
466.98554995	1530.00000000
