Saved at time: 429042 milliseconds
Integration time: 100000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
336.52618408	1523.00000000
336.98196843	1530.00000000
337.43778931	1521.00000000
337.89364673	1525.00000000
338.34954070	1529.00000000
338.80547121	1529.00000000
339.26143827	1533.00000000
339.71744189	1529.00000000
340.17348206	1517.00000000
340.62955880	1536.00000000
341.08567210	1533.00000000
341.54182197	1540.00000000
341.99800842	1532.00000000
342.45423144	1528.00000000
342.91049105	1526.00000000
343.36678724	1533.00000000
343.82312002	1526.00000000
344.27948940	1534.00000000
344.73589537	1536.00000000
345.19233794	1528.00000000
345.64881712	1530.00000000
346.10533290	1536.00000000
346.56188530	1537.00000000
347.01847432	1529.00000000
347.47509995	1535.00000000
347.93176221	1534.00000000
348.38846110	1539.00000000
348.84519662	1536.00000000
349.30196878	1540.00000000
349.75877758	1543.00000000
350.21562302	1540.00000000
350.67250511	1540.00000000
351.12942385	1540.00000000
351.58637924	1540.00000000
352.04337130	1549.00000000
352.50040002	1542.00000000
352.95746540	1540.00000000
353.41456746	1543.00000000
353.87170619	1549.00000000
354.32888160	1546.00000000
354.78609370	1551.00000000
355.24334248	1547.00000000
355.70062795	1544.00000000
356.15795012	1544.00000000
356.61530898	1546.00000000
357.07270455	1549.00000000
357.53013682	1541.00000000
357.98760580	1542.00000000
358.44511150	1550.00000000
358.90265391	1540.00000000
359.36023305	1548.00000000
359.81784891	1544.00000000
360.27550150	1543.00000000
360.73319082	1552.00000000
361.19091688	1555.00000000
361.64867969	1553.00000000
362.10647923	1551.00000000
362.56431553	1560.00000000
363.02218858	1555.00000000
363.48009839	1559.00000000
363.93804495	1556.00000000
364.39602828	1561.00000000
364.85404838	1556.00000000
365.31210525	1568.00000000
365.77019890	1568.00000000
366.22832933	1567.00000000
366.68649654	1570.00000000
367.14470054	1566.00000000
367.60294133	1572.00000000
368.06121892	1572.00000000
368.51953331	1573.00000000
368.97788450	1565.00000000
369.43627249	1570.00000000
369.89469730	1568.00000000
370.35315893	1562.00000000
370.81165737	1567.00000000
371.27019263	1563.00000000
371.72876473	1565.00000000
372.18737365	1560.00000000
372.64601941	1565.00000000
373.10470200	1565.00000000
373.56342144	1565.00000000
374.02217772	1569.00000000
374.48097086	1565.00000000
374.93980085	1573.00000000
375.39866769	1560.00000000
375.85757140	1579.00000000
376.31651197	1571.00000000
376.77548942	1571.00000000
377.23450373	1580.00000000
377.69355493	1584.00000000
378.15264300	1584.00000000
378.61176796	1581.00000000
379.07092981	1582.00000000
379.53012855	1573.00000000
379.98936419	1577.00000000
380.44863673	1578.00000000
380.90794617	1573.00000000
381.36729253	1572.00000000
381.82667579	1572.00000000
382.28609597	1573.00000000
382.74555307	1572.00000000
383.20504710	1573.00000000
383.66457805	1570.00000000
384.12414594	1576.00000000
384.58375076	1573.00000000
385.04339252	1578.00000000
385.50307122	1578.00000000
385.96278687	1579.00000000
386.42253947	1581.00000000
386.88232903	1585.00000000
387.34215555	1585.00000000
387.80201903	1587.00000000
388.26191947	1594.00000000
388.72185689	1594.00000000
389.18183128	1595.00000000
389.64184265	1596.00000000
390.10189100	1597.00000000
390.56197634	1593.00000000
391.02209867	1593.00000000
391.48225799	1588.00000000
391.94245431	1591.00000000
392.40268763	1595.00000000
392.86295796	1588.00000000
393.32326530	1581.00000000
393.78360965	1584.00000000
394.24399102	1590.00000000
394.70440941	1596.00000000
395.16486482	1589.00000000
395.62535727	1599.00000000
396.08588674	1597.00000000
396.54645326	1604.00000000
397.00705681	1617.00000000
397.46769741	1614.00000000
397.92837506	1623.00000000
398.38908976	1628.00000000
398.84984151	1640.00000000
399.31063033	1640.00000000
399.77145621	1654.00000000
400.23231916	1658.00000000
400.69321918	1664.00000000
401.15415627	1662.00000000
401.61513045	1666.00000000
402.07614171	1665.00000000
402.53719006	1661.00000000
402.99827549	1671.00000000
403.45939803	1663.00000000
403.92055766	1666.00000000
404.38175439	1665.00000000
404.84298824	1662.00000000
405.30425919	1660.00000000
405.76556726	1660.00000000
406.22691244	1669.00000000
406.68829475	1660.00000000
407.14971418	1665.00000000
407.61117075	1672.00000000
408.07266445	1671.00000000
408.53419529	1671.00000000
408.99576326	1678.00000000
409.45736839	1670.00000000
409.91901066	1673.00000000
410.38069009	1679.00000000
410.84240668	1676.00000000
411.30416042	1676.00000000
411.76595133	1677.00000000
412.22777942	1672.00000000
412.68964467	1677.00000000
413.15154710	1676.00000000
413.61348671	1678.00000000
414.07546351	1670.00000000
414.53747749	1673.00000000
414.99952867	1671.00000000
415.46161704	1673.00000000
415.92374262	1679.00000000
416.38590540	1673.00000000
416.84810538	1671.00000000
417.31034258	1676.00000000
417.77261699	1683.00000000
418.23492863	1679.00000000
418.69727748	1681.00000000
419.15966357	1681.00000000
419.62208688	1684.00000000
420.08454743	1681.00000000
420.54704523	1681.00000000
421.00958026	1683.00000000
421.47215254	1678.00000000
421.93476207	1682.00000000
422.39740886	1682.00000000
422.86009290	1677.00000000
423.32281421	1677.00000000
423.78557278	1676.00000000
424.24836862	1669.00000000
424.71120174	1669.00000000
425.17407214	1665.00000000
425.63697981	1672.00000000
426.09992478	1671.00000000
426.56290703	1669.00000000
427.02592658	1669.00000000
427.48898342	1669.00000000
427.95207757	1668.00000000
428.41520902	1667.00000000
428.87837778	1665.00000000
429.34158385	1665.00000000
429.80482724	1672.00000000
430.26810795	1672.00000000
430.73142599	1674.00000000
431.19478135	1673.00000000
431.65817405	1683.00000000
432.12160408	1682.00000000
432.58507146	1683.00000000
433.04857617	1695.00000000
433.51211824	1688.00000000
433.97569766	1700.00000000
434.43931443	1701.00000000
434.90296857	1700.00000000
435.36666006	1704.00000000
435.83038893	1699.00000000
436.29415516	1704.00000000
436.75795877	1703.00000000
437.22179977	1705.00000000
437.68567814	1709.00000000
438.14959390	1707.00000000
438.61354705	1715.00000000
439.07753760	1718.00000000
439.54156554	1722.00000000
440.00563089	1728.00000000
440.46973364	1732.00000000
440.93387381	1736.00000000
441.39805139	1742.00000000
441.86226638	1753.00000000
442.32651880	1753.00000000
442.79080865	1735.00000000
443.25513592	1766.00000000
443.71950063	1763.00000000
444.18390277	1758.00000000
444.64834236	1765.00000000
445.11281939	1775.00000000
445.57733388	1770.00000000
446.04188581	1776.00000000
446.50647520	1766.00000000
446.97110205	1783.00000000
447.43576637	1776.00000000
447.90046816	1776.00000000
448.36520742	1783.00000000
448.82998415	1789.00000000
449.29479837	1792.00000000
449.75965007	1780.00000000
450.22453926	1799.00000000
450.68946594	1794.00000000
451.15443011	1797.00000000
451.61943179	1799.00000000
452.08447097	1795.00000000
452.54954765	1794.00000000
453.01466185	1796.00000000
453.47981357	1796.00000000
453.94500280	1789.00000000
454.41022956	1795.00000000
454.87549384	1791.00000000
455.34079565	1798.00000000
455.80613500	1798.00000000
456.27151189	1785.00000000
456.73692632	1788.00000000
457.20237830	1787.00000000
457.66786782	1775.00000000
458.13339491	1775.00000000
458.59895955	1780.00000000
459.06456175	1778.00000000
459.53020152	1778.00000000
459.99587885	1779.00000000
460.46159377	1783.00000000
460.92734625	1784.00000000
461.39313632	1781.00000000
461.85896398	1783.00000000
462.32482923	1776.00000000
462.79073206	1790.00000000
463.25667250	1789.00000000
463.72265054	1800.00000000
464.18866618	1794.00000000
464.65471943	1801.00000000
465.12081029	1792.00000000
465.58693877	1798.00000000
466.05310487	1810.00000000
466.51930859	1803.00000000
466.98554995	1803.00000000
467.45182893	1794.00000000
467.91814555	1801.00000000
468.38449981	1805.00000000
468.85089172	1804.00000000
469.31732127	1796.00000000
469.78378847	1808.00000000
470.25029333	1803.00000000
470.71683585	1803.00000000
471.18341603	1801.00000000
471.65003388	1803.00000000
472.11668940	1796.00000000
472.58338259	1793.00000000
473.05011346	1790.00000000
473.51688202	1803.00000000
473.98368826	1793.00000000
474.45053219	1790.00000000
474.91741382	1798.00000000
475.38433315	1805.00000000
475.85129017	1808.00000000
476.31828491	1804.00000000
476.78531735	1803.00000000
477.25238751	1810.00000000
477.71949538	1815.00000000
478.18664098	1813.00000000
478.65382430	1820.00000000
479.12104535	1830.00000000
479.58830414	1828.00000000
480.05560066	1838.00000000
480.52293492	1847.00000000
480.99030693	1843.00000000
481.45771668	1843.00000000
481.92516419	1849.00000000
482.39264946	1845.00000000
482.86017248	1842.00000000
483.32773327	1844.00000000
483.79533183	1836.00000000
484.26296816	1830.00000000
484.73064227	1833.00000000
485.19835416	1830.00000000
485.66610383	1821.00000000
486.13389129	1813.00000000
486.60171654	1819.00000000
487.06957958	1813.00000000
487.53748043	1822.00000000
488.00541908	1827.00000000
488.47339553	1828.00000000
488.94140980	1823.00000000
489.40946188	1831.00000000
489.87755178	1843.00000000
490.34567950	1841.00000000
490.81384505	1841.00000000
491.28204843	1843.00000000
491.75028965	1844.00000000
492.21856870	1859.00000000
492.68688560	1852.00000000
493.15524034	1858.00000000
493.62363293	1857.00000000
494.09206337	1860.00000000
494.56053168	1870.00000000
495.02903784	1882.00000000
495.49758187	1884.00000000
495.96616377	1886.00000000
496.43478354	1887.00000000
496.90344119	1890.00000000
497.37213672	1900.00000000
497.84087014	1896.00000000
498.30964144	1900.00000000
498.77845064	1900.00000000
499.24729773	1897.00000000
499.71618273	1899.00000000
500.18510563	1897.00000000
500.65406644	1897.00000000
501.12306516	1901.00000000
501.59210179	1888.00000000
502.06117635	1898.00000000
502.53028883	1893.00000000
502.99943924	1899.00000000
503.46862757	1891.00000000
503.93785385	1897.00000000
504.40711806	1901.00000000
504.87642022	1895.00000000
505.34576033	1901.00000000
505.81513838	1893.00000000
506.28455439	1904.00000000
506.75400836	1911.00000000
507.22350029	1913.00000000
507.69303019	1902.00000000
508.16259806	1906.00000000
508.63220391	1909.00000000
509.10184773	1915.00000000
509.57152954	1911.00000000
510.04124933	1918.00000000
510.51100711	1920.00000000
510.98080288	1917.00000000
511.45063666	1918.00000000
511.92050843	1911.00000000
512.39041821	1919.00000000
512.86036600	1921.00000000
513.33035180	1920.00000000
513.80037562	1915.00000000
514.27043747	1906.00000000
514.74053733	1903.00000000
515.21067523	1897.00000000
515.68085116	1896.00000000
516.15106512	1894.00000000
516.62131713	1893.00000000
517.09160718	1895.00000000
517.56193528	1891.00000000
518.03230143	1884.00000000
518.50270563	1892.00000000
518.97314790	1892.00000000
519.44362823	1891.00000000
519.91414663	1898.00000000
520.38470310	1903.00000000
520.85529765	1908.00000000
521.32593027	1911.00000000
521.79660098	1910.00000000
522.26730978	1912.00000000
522.73805666	1919.00000000
523.20884165	1912.00000000
523.67966473	1911.00000000
524.15052591	1910.00000000
524.62142520	1909.00000000
525.09236261	1909.00000000
525.56333812	1909.00000000
526.03435176	1912.00000000
526.50540351	1914.00000000
526.97649340	1910.00000000
527.44762141	1919.00000000
527.91878756	1922.00000000
528.38999184	1920.00000000
528.86123427	1920.00000000
529.33251484	1923.00000000
529.80383357	1925.00000000
530.27519044	1929.00000000
530.74658547	1925.00000000
531.21801867	1916.00000000
531.68949003	1924.00000000
532.16099956	1922.00000000
532.63254726	1914.00000000
533.10413314	1918.00000000
533.57575719	1918.00000000
534.04741944	1915.00000000
534.51911987	1907.00000000
534.99085849	1907.00000000
535.46263531	1907.00000000
535.93445033	1912.00000000
536.40630356	1910.00000000
536.87819499	1911.00000000
537.35012463	1905.00000000
537.82209249	1896.00000000
538.29409857	1903.00000000
538.76614288	1885.00000000
539.23822541	1889.00000000
539.71034617	1900.00000000
540.18250517	1898.00000000
540.65470240	1899.00000000
541.12693788	1889.00000000
541.59921160	1894.00000000
542.07152358	1901.00000000
542.54387381	1897.00000000
543.01626230	1893.00000000
543.48868905	1901.00000000
543.96115407	1904.00000000
544.43365736	1907.00000000
544.90619892	1901.00000000
545.37877876	1898.00000000
545.85139688	1909.00000000
546.32405329	1896.00000000
546.79674799	1905.00000000
547.26948098	1900.00000000
547.74225226	1905.00000000
548.21506185	1901.00000000
548.68790975	1896.00000000
549.16079595	1892.00000000
549.63372047	1898.00000000
550.10668330	1906.00000000
550.57968445	1901.00000000
551.05272393	1902.00000000
551.52580174	1905.00000000
551.99891788	1907.00000000
552.47207235	1898.00000000
552.94526517	1894.00000000
553.41849633	1895.00000000
553.89176584	1895.00000000
554.36507370	1897.00000000
554.83841991	1893.00000000
555.31180449	1889.00000000
555.78522743	1888.00000000
556.25868873	1888.00000000
556.73218841	1879.00000000
557.20572646	1886.00000000
557.67930290	1885.00000000
558.15291771	1884.00000000
558.62657091	1875.00000000
559.10026251	1879.00000000
559.57399249	1892.00000000
560.04776088	1883.00000000
560.52156767	1879.00000000
560.99541286	1889.00000000
561.46929647	1883.00000000
561.94321848	1890.00000000
562.41717892	1884.00000000
562.89117778	1891.00000000
563.36521506	1891.00000000
563.83929078	1888.00000000
564.31340493	1889.00000000
564.78755751	1880.00000000
565.26174854	1893.00000000
565.73597801	1889.00000000
566.21024593	1895.00000000
566.68455230	1881.00000000
567.15889713	1889.00000000
567.63328042	1889.00000000
568.10770218	1889.00000000
568.58216241	1886.00000000
569.05666110	1886.00000000
569.53119828	1880.00000000
570.00577393	1876.00000000
570.48038807	1873.00000000
570.95504069	1886.00000000
571.42973181	1878.00000000
571.90446143	1881.00000000
572.37922954	1878.00000000
572.85403616	1881.00000000
573.32888128	1875.00000000
573.80376492	1880.00000000
574.27868707	1872.00000000
574.75364774	1873.00000000
575.22864693	1875.00000000
575.70368465	1868.00000000
576.17876090	1882.00000000
576.65387569	1874.00000000
577.12902901	1868.00000000
577.60422088	1870.00000000
578.07945129	1860.00000000
578.55472026	1874.00000000
579.03002777	1868.00000000
579.50537385	1879.00000000
579.98075849	1875.00000000
580.45618169	1880.00000000
580.93164346	1873.00000000
581.40714381	1879.00000000
581.88268273	1883.00000000
582.35826024	1887.00000000
582.83387633	1878.00000000
583.30953101	1881.00000000
583.78522428	1893.00000000
584.26095616	1887.00000000
584.73672663	1880.00000000
585.21253570	1879.00000000
585.68838339	1883.00000000
586.16426968	1875.00000000
586.64019460	1865.00000000
587.11615813	1858.00000000
587.59216029	1864.00000000
588.06820108	1852.00000000
588.54428049	1849.00000000
589.02039855	1839.00000000
589.49655524	1842.00000000
589.97275058	1842.00000000
590.44898456	1842.00000000
590.92525720	1838.00000000
591.40156849	1844.00000000
591.87791844	1837.00000000
592.35430706	1845.00000000
592.83073434	1841.00000000
593.30720029	1849.00000000
593.78370492	1854.00000000
594.26024822	1851.00000000
594.73683021	1853.00000000
595.21345088	1849.00000000
595.69011025	1854.00000000
596.16680831	1848.00000000
596.64354506	1848.00000000
597.12032052	1847.00000000
597.59713469	1847.00000000
598.07398756	1848.00000000
598.55087915	1842.00000000
599.02780946	1847.00000000
599.50477848	1849.00000000
599.98178624	1842.00000000
600.45883272	1852.00000000
600.93591793	1852.00000000
601.41304189	1853.00000000
601.89020458	1853.00000000
602.36740602	1846.00000000
602.84464620	1859.00000000
603.32192514	1857.00000000
603.79924284	1857.00000000
604.27659929	1852.00000000
604.75399452	1865.00000000
605.23142850	1860.00000000
605.70890126	1864.00000000
606.18641280	1853.00000000
606.66396312	1861.00000000
607.14155222	1859.00000000
607.61918010	1862.00000000
608.09684678	1855.00000000
608.57455226	1850.00000000
609.05229653	1856.00000000
609.53007961	1846.00000000
610.00790149	1857.00000000
610.48576219	1849.00000000
610.96366170	1856.00000000
611.44160003	1845.00000000
611.91957718	1853.00000000
612.39759315	1854.00000000
612.87564796	1845.00000000
613.35374160	1847.00000000
613.83187409	1842.00000000
614.31004541	1838.00000000
614.78825558	1844.00000000
615.26650459	1841.00000000
