Saved at time: 223498 milliseconds
Integration time: 100000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
336.52618408	1516.00000000
336.98196843	1516.00000000
337.43778931	1508.00000000
337.89364673	1518.00000000
338.34954070	1517.00000000
338.80547121	1516.00000000
339.26143827	1520.00000000
339.71744189	1523.00000000
340.17348206	1508.00000000
340.62955880	1521.00000000
341.08567210	1521.00000000
341.54182197	1523.00000000
341.99800842	1519.00000000
342.45423144	1516.00000000
342.91049105	1515.00000000
343.36678724	1516.00000000
343.82312002	1515.00000000
344.27948940	1520.00000000
344.73589537	1523.00000000
345.19233794	1514.00000000
345.64881712	1522.00000000
346.10533290	1522.00000000
346.56188530	1523.00000000
347.01847432	1513.00000000
347.47509995	1520.00000000
347.93176221	1523.00000000
348.38846110	1523.00000000
348.84519662	1523.00000000
349.30196878	1524.00000000
349.75877758	1525.00000000
350.21562302	1522.00000000
350.67250511	1523.00000000
351.12942385	1522.00000000
351.58637924	1513.00000000
352.04337130	1526.00000000
352.50040002	1524.00000000
352.95746540	1522.00000000
353.41456746	1520.00000000
353.87170619	1528.00000000
354.32888160	1529.00000000
354.78609370	1524.00000000
355.24334248	1524.00000000
355.70062795	1526.00000000
356.15795012	1522.00000000
356.61530898	1526.00000000
357.07270455	1528.00000000
357.53013682	1523.00000000
357.98760580	1526.00000000
358.44511150	1529.00000000
358.90265391	1522.00000000
359.36023305	1529.00000000
359.81784891	1527.00000000
360.27550150	1525.00000000
360.73319082	1528.00000000
361.19091688	1529.00000000
361.64867969	1531.00000000
362.10647923	1529.00000000
362.56431553	1536.00000000
363.02218858	1534.00000000
363.48009839	1535.00000000
363.93804495	1530.00000000
364.39602828	1533.00000000
364.85404838	1531.00000000
365.31210525	1535.00000000
365.77019890	1537.00000000
366.22832933	1540.00000000
366.68649654	1535.00000000
367.14470054	1538.00000000
367.60294133	1541.00000000
368.06121892	1541.00000000
368.51953331	1538.00000000
368.97788450	1535.00000000
369.43627249	1537.00000000
369.89469730	1535.00000000
370.35315893	1538.00000000
370.81165737	1540.00000000
371.27019263	1533.00000000
371.72876473	1541.00000000
372.18737365	1537.00000000
372.64601941	1535.00000000
373.10470200	1537.00000000
373.56342144	1538.00000000
374.02217772	1537.00000000
374.48097086	1531.00000000
374.93980085	1540.00000000
375.39866769	1528.00000000
375.85757140	1543.00000000
376.31651197	1538.00000000
376.77548942	1541.00000000
377.23450373	1545.00000000
377.69355493	1551.00000000
378.15264300	1548.00000000
378.61176796	1548.00000000
379.07092981	1547.00000000
379.53012855	1541.00000000
379.98936419	1546.00000000
380.44863673	1551.00000000
380.90794617	1547.00000000
381.36729253	1541.00000000
381.82667579	1542.00000000
382.28609597	1541.00000000
382.74555307	1545.00000000
383.20504710	1548.00000000
383.66457805	1544.00000000
