wavelenghts,device 1,device 2,difference ,avg,max
336.53,1499.3,1500.9,1.6,1.51,6.4
336.98,1500,1500.2,0.2,,
337.44,1500.3,1500.4,0.1,,
337.89,1498,1500.2,2.2,,
338.35,1499.7,1501.2,1.5,,
338.81,1501,1499.6,1.4,,
339.26,1500,1499.2,0.8,,
339.72,1503,1500.5,2.5,,
340.17,1499,1500.3,1.3,,
340.63,1502.3,1500.4,1.9,,
341.09,1499.3,1498.3,1,,
341.54,1502,1497.5,4.5,,
342,1498.3,1499.8,1.5,,
342.45,1499.7,1500,0.3,,
342.91,1501,1499.2,1.8,,
343.37,1503.7,1497.7,6,,
343.82,1500,1499.9,0.1,,
344.28,1501.3,1502.3,1,,
344.74,1503.3,1500.6,2.7,,
345.19,1502.3,1499.3,3,,
345.65,1499,1498.1,0.9,,
346.11,1500.3,1501.6,1.3,,
346.56,1502.7,1501.5,1.2,,
347.02,1501,1501.2,0.2,,
347.48,1502.3,1499.1,3.2,,
347.93,1502,1499,3,,
348.39,1503.7,1499.6,4.1,,
348.85,1500,1498.7,1.3,,
349.3,1501.7,1498,3.7,,
349.76,1500.7,1499.7,1,,
350.22,1498.7,1500,1.3,,
350.67,1502,1500.2,1.8,,
351.13,1502,1499.5,2.5,,
351.59,1501,1500.8,0.2,,
352.04,1502,1500.7,1.3,,
352.5,1501,1499.9,1.1,,
352.96,1501.7,1499.6,2.1,,
353.41,1499.7,1500,0.3,,
353.87,1500.7,1501,0.3,,
354.33,1500,1499.1,0.9,,
354.79,1502.3,1499.3,3,,
355.24,1498.7,1501,2.3,,
355.7,1501,1501.7,0.7,,
356.16,1502.7,1501.2,1.5,,
356.62,1500.3,1500.1,0.2,,
357.07,1499.7,1501.2,1.5,,
357.53,1498.3,1502.5,4.2,,
357.99,1500.7,1500.2,0.5,,
358.45,1500.3,1499.6,0.7,,
358.9,1502,1499.5,2.5,,
359.36,1499,1501,2,,
359.82,1501.7,1499.2,2.5,,
360.28,1498.7,1499,0.3,,
360.73,1499.7,1499.4,0.3,,
361.19,1501,1500.3,0.7,,
361.65,1503,1500.2,2.8,,
362.11,1500.7,1500,0.7,,
362.56,1500,1500.5,0.5,,
363.02,1501.7,1501.3,0.4,,
363.48,1504.3,1500.5,3.8,,
363.94,1500,1500.3,0.3,,
364.4,1500.7,1499.4,1.3,,
364.85,1500.7,1501.3,0.6,,
365.31,1501.3,1501.9,0.6,,
365.77,1496.7,1501.1,4.4,,
366.23,1502.7,1499.1,3.6,,
366.69,1502,1498.5,3.5,,
367.14,1502.7,1500.9,1.8,,
367.6,1500,1501,1,,
368.06,1501.3,1500.2,1.1,,
368.52,1502.7,1499.4,3.3,,
368.98,1503.3,1498.3,5,,
369.44,1502.3,1499.8,2.5,,
369.89,1499,1501,2,,
370.35,1498.7,1499.5,0.8,,
370.81,1502.3,1499.5,2.8,,
371.27,1500.3,1498.8,1.5,,
371.73,1501.3,1500.1,1.2,,
372.19,1501.3,1500.2,1.1,,
372.65,1498.7,1500.5,1.8,,
373.1,1499.7,1501.1,1.4,,
373.56,1500.3,1499,1.3,,
374.02,1501,1498.1,2.9,,
374.48,1497.7,1500.8,3.1,,
374.94,1498.3,1502.2,3.9,,
375.4,1501.3,1499.6,1.7,,
375.86,1500,1498.6,1.4,,
376.32,1499,1498.9,0.1,,
376.78,1501.7,1500.4,1.3,,
377.23,1500.7,1500.8,0.1,,
377.69,1501,1500.2,0.8,,
378.15,1499.3,1499.7,0.4,,
378.61,1500.3,1503.1,2.8,,
379.07,1501.3,1499.9,1.4,,
379.53,1501,1500,1,,
379.99,1501.7,1501.1,0.6,,
380.45,1498,1501.2,3.2,,
380.91,1500,1499.1,0.9,,
381.37,1502,1500.6,1.4,,
381.83,1501.3,1500.3,1,,
382.29,1501,1501.5,0.5,,
382.75,1500,1500.5,0.5,,
383.21,1499.3,1500.9,1.6,,
383.66,1501.7,1500.5,1.2,,
384.12,1501,1500.1,0.9,,
384.58,1501,1500.4,0.6,,
385.04,1500.7,1500.3,0.4,,
385.5,1502.3,1499.4,2.9,,
385.96,1501.3,1499.5,1.8,,
386.42,1501.7,1498.8,2.9,,
386.88,1502.3,1498.2,4.1,,
387.34,1500.3,1498.1,2.2,,
387.8,1498.7,1498.9,0.2,,
388.26,1501.7,1500.8,0.9,,
388.72,1500.7,1501.8,1.1,,
389.18,1500.7,1502.4,1.7,,
389.64,1497.7,1500.2,2.5,,
390.1,1499.3,1499.3,0,,
390.56,1501,1499.9,1.1,,
391.02,1499.7,1499.8,0.1,,
391.48,1498,1500.1,2.1,,
391.94,1500.7,1499.5,1.2,,
392.4,1499.3,1499.9,0.6,,
392.86,1502,1499.3,2.7,,
393.32,1501.3,1498.8,2.5,,
393.78,1501,1500.3,0.7,,
394.24,1500.3,1500.7,0.4,,
394.7,1503.3,1501.7,1.6,,
395.16,1497.7,1500.7,3,,
395.63,1498.3,1500.3,2,,
396.09,1499.7,1499.4,0.3,,
396.55,1500.3,1499.7,0.6,,
397.01,1499.7,1499.6,0.1,,
397.47,1499,1498.9,0.1,,
397.93,1500.7,1499.1,1.6,,
398.39,1502,1502.7,0.7,,
398.85,1502,1500.8,1.2,,
399.31,1500,1499.8,0.2,,
399.77,1499.3,1499.9,0.6,,
400.23,1497.7,1501.6,3.9,,
400.69,1502.3,1500.3,2,,
401.15,1503.3,1497.9,5.4,,
401.62,1498,1501.1,3.1,,
402.08,1502,1501.7,0.3,,
402.54,1499.3,1500.3,1,,
403,1502.3,1501.9,0.4,,
403.46,1499.7,1500.3,0.6,,
403.92,1500.7,1500.6,0.1,,
404.38,1502.3,1501.9,0.4,,
404.84,1499,1500.1,1.1,,
405.3,1498.7,1499.5,0.8,,
405.77,1500.7,1499.8,0.9,,
406.23,1501.7,1498.9,2.8,,
406.69,1500,1498.2,1.8,,
407.15,1498.7,1500.3,1.6,,
407.61,1500.7,1501.3,0.6,,
408.07,1501.3,1500.6,0.7,,
